"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2014-03-26,1,60,65,66,-1,49.62,65,66,3,2,1,60,3,2,3.29,3.17,0.11,50.89,3.29,3.17,3,4,1,8.82,94.12,102.94
"ANA",2014-03-28,1,63.85,82,37,45,68.91,77.06,34.77,3,4,-1,42.86,2.82,3.76,5.07,1.74,3.33,74.49,4.76,1.63,6,8,2,5.88,82.61,88.49
"ANA",2014-03-29,1,60,44,60,-16,42.31,44,60,5,1,4,83.33,5,1,2.3,2.58,-0.28,47.08,2.3,2.58,5,7,2,23.81,96.88,120.68
"ANA",2014-03-31,1,60.27,67,66,1,50.38,66.7,65.71,5,4,1,55.56,4.98,3.98,3.67,3.51,0.16,51.12,3.65,3.49,4,2,-2,13.89,89.19,103.08
"ANA",2014-04-02,1,59.37,47,47,0,50,47.5,47.5,3,2,1,60,3.03,2.02,2.85,2.16,0.69,56.84,2.88,2.19,6,6,0,11.54,93.75,105.29
"ANA",2014-04-04,1,60,52,43,9,54.74,52,43,2,5,-3,28.57,2,5,2.8,2.11,0.69,56.98,2.8,2.11,4,3,-1,6.9,79.17,86.06
"ANA",2014-04-06,1,60,75,47,28,61.48,75,47,2,4,-2,33.33,2,4,4.22,3.19,1.03,56.98,4.22,3.19,7,9,2,5.56,85.71,91.27
"ANA",2014-04-07,1,60,40,61,-21,39.6,40,61,3,0,3,100,3,0,1.9,2.68,-0.78,41.48,1.9,2.68,5,3,-2,13.04,100,113.04
"ANA",2014-04-09,1,60,62,70,-8,46.97,62,70,5,2,3,71.43,5,2,2.64,4.06,-1.42,39.43,2.64,4.06,6,4,-2,16.67,94.74,111.4
"ANA",2014-04-12,1,65,49,63,-14,43.75,45.23,58.15,3,3,0,50,2.77,2.77,1.82,2.48,-0.66,42.3,1.68,2.29,4,4,0,12.5,90,102.5
"ANA",2014-04-13,1,61.55,69,57,12,54.76,67.26,55.56,3,2,1,60,2.92,1.95,3.54,2.61,0.94,57.62,3.46,2.54,1,2,1,8.33,93.55,101.88
"ANA",2014-04-16,1,60,61,69,-8,46.92,61,69,4,3,1,57.14,4,3,3.28,4.58,-1.3,41.73,3.28,4.58,5,5,0,11.43,91.43,102.86
"ANA",2014-04-18,1,60,45,73,-28,38.14,45,73,3,2,1,60,3,2,1.67,3.52,-1.85,32.17,1.67,3.52,6,3,-3,15.79,94.44,110.23
"ANA",2014-04-21,1,60,70,51,19,57.85,70,51,0,3,-3,0,0,3,3.64,2.03,1.61,64.18,3.64,2.03,8,9,1,0,86.36,86.36
"ANA",2014-04-23,1,60,58,61,-3,48.74,58,61,2,4,-2,33.33,2,4,2.98,3.32,-0.34,47.31,2.98,3.32,10,8,-2,8.7,84.62,93.31
"ANA",2014-04-25,1,60,36,68,-32,34.62,36,68,6,2,4,75,6,2,2.63,3.38,-0.74,43.83,2.63,3.38,15,13,-2,26.09,94.44,120.53
"ANA",2014-04-27,1,62.78,64,66,-2,49.23,61.16,63.07,5,4,1,55.56,4.78,3.82,3.42,3.18,0.24,51.81,3.27,3.04,8,6,-2,16.67,83.33,100
"ANA",2014-05-03,1,72.12,74,87,-13,45.96,61.57,72.38,2,3,-1,40,1.66,2.5,3.47,2.68,0.79,56.44,2.89,2.23,4,4,0,5.71,91.67,97.38
"ANA",2014-05-05,1,60,62,38,24,62,62,38,1,3,-2,25,1,3,3.45,2.86,0.59,54.69,3.45,2.86,4,5,1,2.7,82.35,85.06
"ANA",2014-05-08,1,60,48,60,-12,44.44,48,60,3,2,1,60,3,2,3.57,2.35,1.21,60.26,3.57,2.35,3,4,1,13.64,93.55,107.18
"ANA",2014-05-10,1,60,36,71,-35,33.64,36,71,2,0,2,100,2,0,2.46,2.57,-0.11,48.93,2.46,2.57,4,3,-1,14.29,100,114.29
"ANA",2014-05-12,1,60,47,80,-33,37.01,47,80,4,3,1,57.14,4,3,2.79,3.64,-0.85,43.35,2.79,3.64,5,5,0,16.67,92.86,109.52
"ANA",2014-05-14,1,60,55,59,-4,48.25,55,59,1,2,-1,33.33,1,2,1.99,1.96,0.03,50.36,1.99,1.96,4,5,1,4.55,91.3,95.85
"ANA",2014-05-16,1,60,61,53,8,53.51,61,53,2,6,-4,25,2,6,2.56,3.69,-1.13,40.95,2.56,3.69,7,5,-2,7.41,80,87.41
