Date,VH,Team,Final
1210,H,Detroit ,1
1210,V,Edmonton ,1
1210,H,Anaheim ,2
1211,V,Calgary ,3
1211,H,Buffalo ,4
1211,V,Columbus ,3
1211,H,Washington ,2
1211,V,New Jersey ,1
1211,H,Philadelphia ,4
1211,V,Chicago ,3
1211,H,Boston ,2
1211,V,Los Angeles ,5
1211,H,Ottawa ,3
1211,V,Carolina ,1
1211,H,Tampa Bay ,2
1211,V,NY Islanders ,3
1211,H,St. Louis ,6
1211,V,Winnipeg ,3
1211,H,Colorado ,4
1211,V,Nashville ,5
1211,H,Arizona ,1
1211,V,Minnesota ,1
1211,H,San Jose ,2
1212,V,Calgary ,1
1212,H,Pittsburgh ,3
1212,V,Los Angeles ,2
1212,H,Montreal ,6
1212,V,Florida ,3
1212,H,Detroit ,2
1212,V,Anaheim ,4
1212,H,Edmonton ,2
1213,V,Ottawa ,3
1213,H,Boston ,2
1213,V,Carolina ,1
1213,H,Philadelphia ,5
1213,V,Chicago ,2
1213,H,NY Islanders ,3
1213,V,Detroit ,1
1213,H,Toronto ,4
1213,V,Tampa Bay ,2
1213,H,Washington ,4
1213,V,Florida ,3
1213,H,Buffalo ,4
1213,V,Pittsburgh ,3
1213,H,Columbus ,4
1213,V,Anaheim ,4
1213,H,Winnipeg ,1
1213,V,Minnesota ,4
1213,H,Arizona ,3
1213,V,New Jersey ,3
1213,H,Dallas ,4
1213,V,St. Louis ,3
1213,H,Colorado ,2
1213,V,NY Rangers ,5
1213,H,Vancouver ,1
1213,V,Nashville ,0
1213,H,San Jose ,2
1214,V,Los Angeles ,3
1214,H,Toronto ,4
1214,V,Calgary ,1
1214,H,Chicago ,2
1214,V,NY Rangers ,2
1214,H,Edmonton ,0
1215,V,New Jersey ,2
1215,H,NY Islanders ,3
1215,V,Tampa Bay ,2
1215,H,Pittsburgh ,4
1215,V,Ottawa ,4
1215,H,Buffalo ,5
1216,V,Tampa Bay ,3
1216,H,Philadelphia ,1
1216,V,Carolina ,1
1216,H,Montreal ,4
1216,V,Columbus ,1
1216,H,Detroit ,0
1216,V,Washington ,1
1216,H,Florida ,2
1216,V,Anaheim ,2
1216,H,Toronto ,6
1216,V,Buffalo ,1
1216,H,Winnipeg ,5
1216,V,Boston ,2
1216,H,Nashville ,3
1216,V,Los Angeles ,2
1216,H,St. Louis ,5
1216,V,Minnesota ,3
1216,H,Chicago ,5
1216,V,Edmonton ,1
1216,H,Arizona ,2
1216,V,NY Rangers ,5
1216,H,Calgary ,2
1217,V,Ottawa ,2
1217,H,New Jersey ,0
1217,V,Boston ,3
1217,H,Minnesota ,2
1217,V,Dallas ,2
1217,H,Vancouver ,0
1218,V,Washington ,5
1218,H,Columbus ,4
1218,V,Toronto ,1
1218,H,Carolina ,4
1218,V,Colorado ,0
1218,H,Pittsburgh ,1
1218,V,Florida ,2
1218,H,Philadelphia ,1
1218,V,Anaheim ,2
1218,H,Montreal ,1
1218,V,St. Louis ,4
1218,H,Los Angeles ,6
1218,V,Edmonton ,3
1218,H,San Jose ,4
1219,V,Tampa Bay ,2
1219,H,New Jersey ,3
1219,V,NY Islanders ,2
1219,H,Detroit ,1
1219,V,Anaheim ,2
1219,H,Ottawa ,6
1219,V,Boston ,1
1219,H,Winnipeg ,2
1219,V,Dallas ,2
1219,H,Calgary ,1
1220,V,Arizona ,2
1220,H,Los Angeles ,4
1220,V,Ottawa ,1
1220,H,Montreal ,4
1220,V,Washington ,4
1220,H,New Jersey ,0
1220,V,Philadelphia ,7
1220,H,Toronto ,4
1220,V,NY Rangers ,3
1220,H,Carolina ,2
1220,V,Tampa Bay ,1
1220,H,NY Islanders ,3
1220,V,Florida ,1
1220,H,Pittsburgh ,3
1220,V,Chicago ,2
1220,H,Columbus ,3
1220,V,Colorado ,5
1220,H,Buffalo ,1
1220,V,Nashville ,6
1220,H,Minnesota ,5
1220,V,Calgary ,2
1220,H,Vancouver ,3
1220,V,St. Louis ,2
1220,H,San Jose ,3
1221,V,Dallas ,6
1221,H,Edmonton ,5
1221,V,Colorado ,2
1221,H,Detroit ,1
1221,V,Carolina ,0
1221,H,NY Rangers ,1
1221,V,Toronto ,0
1221,H,Chicago ,4
1221,V,Buffalo ,3
1221,H,Boston ,4
1221,V,Philadelphia ,4
1221,H,Winnipeg ,3
1222,V,Ottawa ,1
1222,H,Washington ,2
1222,V,Nashville ,5
1222,H,Columbus ,1
1222,V,Pittsburgh ,3
1222,H,Florida ,4
1222,V,San Jose ,2
1222,H,Anaheim ,3
1222,V,Arizona ,1
1222,H,Vancouver ,7
1222,V,Calgary ,4
1222,H,Los Angeles ,3
1223,V,Nashville ,3
1223,H,Boston ,5
1223,V,Carolina ,2
1223,H,New Jersey ,1
1223,V,Toronto ,4
1223,H,Dallas ,0
1223,V,Philadelphia ,5
1223,H,Minnesota ,2
1223,V,Montreal ,3
1223,H,NY Islanders ,1
